Cement-to-cm,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Length of specimen (mm),28-day flexural strength (MPa)
0.75,42.5,0,0,0.25,0,0,0,1,2.36,0,0.163825758,0.019981061,2,65,160,27.7811259
0.599810785,42.5,0,0.150425733,0.249763482,0,0,0,0.999053926,2.36,0,0.163670766,0.019962157,2,65,160,27.68622313
0.449810606,42.5,0,0.300189394,0.25,0,0,0,1,2.36,0,0.163825758,0.019981061,2,65,160,39.40252815
0.300189394,42.5,0,0.449810606,0.25,0,0,0,1,2.36,0,0.163825758,0.019981061,2,65,160,25.59647902
0.599810785,42.5,0.150425733,0,0.249763482,0,0,0,0.999053926,2.36,0,0.163670766,0.019962157,2,65,160,36.9
0.449810606,42.5,0.300189394,0,0.25,0,0,0,1,2.36,0,0.163825758,0.019981061,2,65,160,33.4
0.300189394,42.5,0.449810606,0,0.25,0,0,0,1,2.36,0,0.163825758,0.019981061,2,65,160,31.4
0.8,52.5,0,0,0.2,0,0,0,0.88,2.36,0.319796954,0.175634518,0.03032,2.5,81.25,350,36.83
0.8,52.5,0,0,0.2,0,0,0,0.88,2.36,0.319796954,0.175634518,0.03032,2,81.25,350,33.95
0.8,52.5,0,0,0.2,0,0,0,0.88,2.36,0.319796954,0.175634518,0.03032,2.5,37.5,350,30.56
0.8,52.5,0,0,0.2,0,0,0,0.88,2.36,0.319796954,0.175634518,0.03032,2,37.5,350,28.34
0.8,52.5,0,0,0.2,0,0,0,0.88,2.36,0.319796954,0.175634518,0.03032,0,0,350,18.84
0.4,52.5,0.25,0.25,0.1,0,0,0,1.2,2.5,0,0.15,0.02,0,0,160,17.09848485
0.4,52.5,0.25,0.25,0.1,0,0,0,1.2,2.5,0,0.15,0.02,3,74.28571429,160,38.2699362
0.4,52.5,0.25,0.25,0.1,0,0,0,1.2,2.5,0,0.15,0.02,4,74.28571429,160,41.93141946
0.655652174,52.5,0.266086957,0,0.07826087,0,0,0,0.826956522,1.25,0,0.172173913,0.028695652,2,65,100,28.42809365
0.655652174,52.5,0.266086957,0,0.062608696,0.015652174,0,0,0.826956522,1.25,0,0.172173913,0.028695652,2,65,100,28.02675585
0.655652174,52.5,0.266086957,0,0.046956522,0.031304348,0,0,0.826956522,1.25,0,0.172173913,0.028695652,2,65,100,35.25083612
0.655652174,52.5,0.266086957,0,0.031304348,0.046956522,0,0,0.826956522,1.25,0,0.172173913,0.028695652,2,65,100,35.11705686
0.655652174,52.5,0.266086957,0,0.015652174,0.062608696,0,0,0.826956522,1.25,0,0.172173913,0.028695652,2,65,100,29.69899666
0.655652174,52.5,0.266086957,0,0,0.07826087,0,0,0.826956522,1.25,0,0.172173913,0.028695652,2,65,100,28.69565217
0.857124419,42.5,0,0,0,0.142875581,0,0.428497677,1.428497677,0.95,0,0.282851058,0.010002581,0,0,160,17.3604347
0.785723506,42.5,0,0,0,0.214276494,0,0.428552988,1.42868207,0.95,0,0.282860462,0.014289402,0,0,160,16.41019571
0.714248838,42.5,0,0,0,0.285751162,0,0.428497677,1.428497677,0.95,0,0.285699535,0.035712442,0,0,160,17.43901064
0.854700855,42.5,0,0,0,0.145299145,0,0,1.757316757,5,0,0.256410256,0.018000518,0,0,250,19.9
0.854700855,42.5,0,0,0,0.145299145,0,0,1.223975455,5,0,0.256410256,0.022682446,0,0,250,18.2
0.854700855,42.5,0,0,0,0.145299145,0,0,1.069393569,5,0,0.256410256,0.006817257,0,0,250,18.6
0.8,42.5,0,0,0.064,0.136,0,0,1.589333333,5,0,0.24,0.0248,0,0,250,19.1
0.8,42.5,0,0,0.064,0.136,0,0,1.17,5,0,0.24,0.013555556,0,0,250,19.2
0.8,42.5,0,0,0.064,0.136,0,0,1.016410256,5,0,0.24,0.014769231,0,0,250,19.4
