Cement-to-cm³,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm ,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Size of specimen (mm),28-day compressive strength (MPa)
0.726339795,52.5,0.142531357,0,0.131128848,0,0,0,0,1.387685291,5,0.205245154,0.028506271,0,0,40,118
0.757575758,52.5,0.126262626,0,0.116161616,0,0,0,0,1.115151515,5,0.181818182,0.025252525,0,0,40,128
0.757575758,52.5,0.126262626,0,0.116161616,0,0,0,0,1.114141414,5,0.181818182,0.025252525,0,0,40,124
0.757575758,52.5,0.126262626,0,0.116161616,0,0,0,0,1.122222222,5,0.181818182,0.025252525,0,0,40,116
0.737704918,52.5,0.136612022,0,0.12568306,0,0,0,0,1.287431694,5,0.196721311,0.027322404,0,0,40,128
0.726339795,52.5,0.142531357,0,0.131128848,0,0,0,0,1.395667047,5,0.205245154,0.028506271,0,0,40,110
0.781976744,52.5,0,0,0.218023256,0,0,0,0.235465116,0.941860465,5,0.189922481,0.012596899,0,0,40,204
0.755037116,52.5,0,0,0.244962884,0,0,0,0.223753977,1.081654295,5,0.115588547,0.032555673,0.02,65,40,138
0.670111972,52.5,0.162790698,0,0.16709733,0,0,0,0,1.004306632,5,0.159870801,0.02411714,0,0,40,185
0.669928826,52.5,0.162811388,0,0.167259786,0,0,0,0,1.004448399,5,0.15202847,0.024021352,0,0,40,166
0.669964029,52.5,0.162769784,0,0.167266187,0,0,0,0,1.005395683,5,0.160917266,0.024280576,0,0,40,162
0.669683258,52.5,0.162895928,0,0.167420814,0,0,0,0,1.004524887,5,0.156733032,0.024434389,0,0,40,200
0.670111972,52.5,0.162790698,0,0.16709733,0,0,0,0,1.005167959,5,0.147588286,0.02411714,0,0,40,181
0.669611307,52.5,0.16254417,0,0.167844523,0,0,0,0,1.005300353,5,0.150353357,0.024734982,0,0,40,155
0.669964029,52.5,0.162769784,0,0.167266187,0,0,0,0,1.005395683,5,0.160917266,0.024280576,0,0,40,159
0.900039562,52.5,0,0,0.099960438,0,0,0,0,0.426612159,5,0.099960438,0.019952525,0,0,40,136.4
0.901585205,52.5,0,0,0.098414795,0,0,0,0,0.427344782,5,0.098414795,0.01998679,0.006636564,65,40,137.9
0.833333333,52.5,0,0,0.166666667,0,0,0,0,0.394993895,5,0.166666667,0.018473748,0.013273128,65,40,140.8
0.833333333,52.5,0,0,0.166666667,0,0,0,0,0.394993895,5,0.166666667,0.018473748,0.019909692,65,40,155.3
